Dimensions,Weight (lbs),FedEx Ground or FedEx Home Delivery,FedEx Standard Overnight,UPS Ground,UPS 3 Day Select,UPS 2nd Day Air,UPS Next Day Air Savar,UPS Next Day Air,USPS Priority,USPS Priority Express
24x18x14,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
24x18x15,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
27x14x9,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
27x27x27,40,332.55,0.0,167.8,221.33,292.09,475.55,495.14,0.0,0.0
28x4x4,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x4x24,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x6x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x6x20,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x6x52,40,69.5,359.24,56.46,78.14,106.37,197.85,207.03,0.0,0.0
28x8x8,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x10x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x12x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x12x8,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x12x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x12x12,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x14x14,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x15x15,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x16x5,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x16x7,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x16x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x16x12,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x16x14,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x17x5,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x18x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
28x18x8,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x18x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x18x12,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x18x18,40,38.01,331.2,45.42,68.53,97.72,192.03,201.51,125.93,357.97
28x20x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x20x12,40,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x20x20,40,73.46,424.05,62.89,94.13,129.62,242.35,253.75,138.43,434.98
28x20x24,40,77.82,494.44,69.38,108.74,152.9,283.7,297.17,0.0,0.0
28x20x25,40,79.64,502.04,71.9,113.28,160.23,296.57,310.69,0.0,0.0
28x24x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x24x12,40,37.33,286.79,44.34,62.13,88.42,174.24,182.82,119.87,323.93
28x24x20,40,77.82,494.44,69.38,108.74,152.9,283.7,297.17,0.0,0.0
28x28x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x28x8,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
28x28x10,40,37.23,286.61,44.21,61.06,86.87,171.27,179.7,118.86,318.18
28x28x12,40,70.19,366.5,58.31,82.4,112.58,209.72,219.49,127.49,372.23
28x28x20,40,85.7,554.82,80.04,124.62,178.57,328.77,344.5,0.0,0.0
28x28x22,40,89.48,619.64,86.38,134.82,195.08,357.75,374.92,0.0,0.0
28x28x28,40,339.65,0.0,178.22,237.21,317.77,520.63,542.47,0.0,0.0
29x17x3,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
29x17x5,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
29x17x7,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
29x17x9,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
29x17x12,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
29x17x15,40,35.37,276.9,42.05,57.87,82.22,162.36,170.36,115.7,301.1
29x17x20,40,39.74,347.54,47.98,73.86,105.47,206.86,217.08,129.6,389.27
29x24x24,40,89.02,602.86,84.63,131.42,189.58,348.09,364.78,0.0,0.0
30x5x24,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x6x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
30x6x24,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x6x30,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x6x40,40,66.77,306.39,53.47,68.55,92.42,171.15,178.99,0.0,0.0
30x8x8,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
30x10x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
30x12x4,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
30x12x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
30x12x12,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x13x13,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x14x7,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
30x14x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x15x15,40,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
30x17x16,40,37.43,287.77,44.67,63.2,89.97,177.2,185.93,120.92,329.68
30x17x17,40,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x18x16,40,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x18x18,40,39.16,346.44,47.42,72.79,103.92,203.9,213.96,128.95,383.55
30x20x4,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,85.32,245.98
30x20x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x20x8,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x20x10,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x20x12,40,35.26,274.87,41.72,56.8,80.67,159.4,167.24,114.61,295.52
30x20x18,40,72.53,420.55,61.8,92.0,126.52,236.41,247.52,136.28,423.57
30x20x20,40,75.14,454.29,65.02,99.67,138.23,257.94,270.12,0.0,0.0
30x24x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x24x10,40,35.26,274.87,41.72,56.8,80.67,159.4,167.24,114.61,295.52
30x24x12,40,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x24x20,40,80.94,509.19,73.79,115.54,163.9,303.01,317.45,0.0,0.0
30x24x24,40,90.83,625.23,87.35,135.96,196.91,360.97,378.3,0.0,0.0
30x26x24,40,94.95,669.98,93.92,145.03,211.59,386.73,405.35,0.0,0.0
30x30x6,40,32.61,247.35,38.37,52.54,74.47,147.53,154.78,110.32,270.98
30x30x8,40,66.77,306.39,53.47,68.55,92.42,171.15,178.99,114.61,295.52
30x30x10,40,69.53,362.72,57.17,80.28,109.47,203.78,213.26,0.0,0.0
30x30x12,40,72.53,420.55,61.8,92.0,126.52,236.41,247.52,0.0,0.0
24x18x6,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
24x18x8,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
24x18x10,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
24x18x12,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
24x18x14,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
24x18x15,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
27x14x9,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
27x27x27,41,332.55,0.0,167.8,221.33,292.09,475.55,495.14,0.0,0.0
28x4x4,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x4x24,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x6x6,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x6x20,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x6x52,41,69.5,359.24,56.46,78.14,106.37,197.85,207.03,0.0,0.0
28x8x8,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x10x10,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x12x6,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x12x8,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x12x10,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x12x12,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x14x14,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x15x15,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x16x5,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x16x7,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x16x10,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x16x12,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x16x14,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x17x5,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x18x6,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
28x18x8,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x18x10,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x18x12,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x18x18,41,38.01,331.2,45.42,68.53,97.72,192.03,201.51,125.93,357.97
28x20x10,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x20x12,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x20x20,41,73.46,424.05,62.89,94.13,129.62,242.35,253.75,138.43,434.98
28x20x24,41,77.82,494.44,69.38,108.74,152.9,283.7,297.17,0.0,0.0
28x20x25,41,79.64,502.04,71.9,113.28,160.23,296.57,310.69,0.0,0.0
28x24x6,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x24x12,41,37.33,286.79,44.34,62.13,88.42,174.24,182.82,119.87,323.93
28x24x20,41,77.82,494.44,69.38,108.74,152.9,283.7,297.17,0.0,0.0
28x28x6,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x28x8,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
28x28x10,41,37.23,286.61,44.21,61.06,86.87,171.27,179.7,118.86,318.18
28x28x12,41,70.19,366.5,58.31,82.4,112.58,209.72,219.49,127.49,372.23
28x28x20,41,85.7,554.82,80.04,124.62,178.57,328.77,344.5,0.0,0.0
28x28x22,41,89.48,619.64,86.38,134.82,195.08,357.75,374.92,0.0,0.0
28x28x28,41,339.65,0.0,178.22,237.21,317.77,520.63,542.47,0.0,0.0
29x17x3,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
29x17x5,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
29x17x7,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
29x17x9,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
29x17x12,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
29x17x15,41,35.37,276.9,42.05,57.87,82.22,162.36,170.36,115.7,301.1
29x17x20,41,39.74,347.54,47.98,73.86,105.47,206.86,217.08,129.6,389.27
29x24x24,41,89.02,602.86,84.63,131.42,189.58,348.09,364.78,0.0,0.0
30x5x24,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
30x6x6,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,86.36,253.48
30x6x24,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
30x6x30,41,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
